domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_return,final_return,baseline_intervention_per_riser,final_intervention_per_riser
target,182,125000001,54,True,True,False,False,False,False,9.603132247924805,11.77454948425293,0.6666666865348816,2.555555582046509
target,183,125000001,55,True,True,False,False,False,False,6.506811618804932,9.172686576843262,0.4444444477558136,0.5555555820465088
target,184,125000001,56,True,True,False,False,False,False,10.183387756347656,8.792736053466797,0.0,0.0
target,185,125000001,57,False,False,True,True,False,False,-0.7745857238769531,-10.518806457519531,1.2222222089767456,0.4444444477558136
target,186,125000001,58,False,True,True,False,False,False,-0.15659475326538086,11.573179244995117,1.0,0.5555555820465088
target,187,125000001,59,False,True,True,False,False,False,-5.126904010772705,8.521220207214355,2.142857313156128,0.1111111119389534
target,188,125000001,60,True,True,False,False,False,False,11.805815696716309,11.579145431518555,1.2222222089767456,1.4444444179534912
target,189,125000001,61,True,False,False,True,False,False,9.51209831237793,-2.041869878768921,0.1111111119389534,1.7142858505249023
target,190,125000001,62,True,True,False,False,False,False,10.813995361328125,12.047042846679688,0.7777777910232544,1.1111111640930176
target,191,125000001,63,True,True,False,False,False,False,10.336904525756836,10.171646118164062,0.8888888955116272,0.5555555820465088
target,192,125000001,64,False,True,True,False,False,False,-1.5877776145935059,10.162721633911133,2.200000047683716,0.1111111119389534
target,193,125000001,65,True,True,False,False,False,False,10.733125686645508,10.004350662231445,0.3333333432674408,0.4444444477558136
target,194,125000001,66,True,True,False,False,False,False,9.330799102783203,10.312829971313477,0.0,0.3333333432674408
target,195,125000001,67,True,True,False,False,False,False,10.108682632446289,7.508257865905762,0.4444444477558136,0.3333333432674408
target,196,125000001,68,True,True,False,False,False,False,10.327601432800293,9.59756851196289,0.2222222238779068,1.1111111640930176
target,197,125000001,69,True,True,False,False,False,False,9.272071838378906,8.606691360473633,0.2222222238779068,0.1111111119389534
target,198,125000001,70,False,True,True,False,False,False,-1.7595860958099365,9.297012329101562,2.8333334922790527,0.1111111119389534
target,199,125000001,71,True,False,False,True,False,False,11.024580001831055,-3.2527427673339844,0.6666666865348816,1.8000000715255737
target,200,125000001,72,False,True,True,False,False,False,-0.4007072448730469,11.755178451538086,4.5,0.7777777910232544
target,201,125000001,73,True,True,False,False,False,False,10.10472297668457,11.377768516540527,0.4444444477558136,0.5555555820465088
target,202,125000001,74,True,True,False,False,False,False,12.22061824798584,12.259154319763184,1.3333333730697632,0.4444444477558136
target,203,125000001,75,True,False,False,True,False,False,9.111309051513672,-1.608464241027832,0.1111111119389534,2.0
target,204,125000001,76,True,True,False,False,False,False,9.274459838867188,10.486186981201172,0.5555555820465088,0.3333333432674408
